strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret60_f0.2_r5,验证期2024,-0.06281466316211048,-0.11374670742931359,-0.36662704475562274,0.6132231404958678
ret60_f0.2_r5,验证期2025-2026-08,0.05616915483362561,-0.12816456862681358,0.486228231062643,0.6426799007444168
ret60_f0.2_r5,全周期,0.04245247657771256,-0.2578594212604929,0.36826302616498574,0.6784015223596574
ret60_f0.2_r10,设计期2018-2023,0.05491100140650951,-0.17292919134556495,0.44934771150332303,0.6936170212765956
ret60_f0.2_r10,验证期2024,-0.05844144505766091,-0.11374670742931414,-0.3494211529867037,0.5966942148760331
ret60_f0.2_r10,验证期2025-2026-08,0.07469944340870649,-0.12621770020065526,0.6220338373300149,0.6625310173697271
ret60_f0.2_r10,全周期,0.04480872405618164,-0.23592391677295266,0.3866662889740559,0.6764985727878211
ret60_f0.2_r20,设计期2018-2023,0.0712524747619836,-0.17719800048786172,0.5545814635173624,0.6936170212765956
ret60_f0.2_r20,验证期2024,-0.07980162779135791,-0.1137467074293137,-0.548422006293091,0.5305785123966943
ret60_f0.2_r20,验证期2025-2026-08,0.10215578468478315,-0.12621770020065493,0.8122300757158006,0.6823821339950372
ret60_f0.2_r20,全周期,0.05829069978904777,-0.22853999974193828,0.4785391223479555,0.6726926736441484
ret60_f0.2_r40,设计期2018-2023,0.06487120766692378,-0.15510982930267025,0.50899684222678,0.7045984900480439
ret60_f0.2_r40,验证期2024,-0.06875492510084058,-0.09926888116860855,-0.47029997666808565,0.5305785123966943
ret60_f0.2_r40,验证期2025-2026-08,0.04931458958771784,-0.13417549312114607,0.427591141274385,0.7161290322580646
ret60_f0.2_r40,全周期,0.045488543642802526,-0.25882936711219606,0.38868915230503803,0.6867745004757374
ret60_f0.4_r5,设计期2018-2023,0.07476558591666693,-0.2192738990352865,0.5644766560359157,0.7743308167467399
ret60_f0.4_r5,验证期2024,-0.027657696164316348,-0.08971703604951098,-0.09470292031392016,0.7099173553719009
ret60_f0.4_r5,验证期2025-2026-08,0.07668996539390438,-0.15125471614773223,0.6121984359035182,0.7320099255583127
