date,symbol,previous_raw_close,preclose,close,qfq_close,pctChg,implied_factor
2022-04-14,000065.SZ,9.32,8.38,8.23,7.85786409,-1.79,1.1121718377088305
2022-07-11,000065.SZ,8.22,8.16,8.17,7.85793868,0.1225,1.0073529411764706
2024-06-21,000065.SZ,10.52,10.43,10.65,10.3705866,2.1093,1.0086289549376797
2025-06-23,000065.SZ,9.87,9.72,9.77,9.66048807,0.5144,1.015432098765432
2026-06-17,000065.SZ,12.49,12.35,12.76,12.76,3.3198,1.011336032388664
2018-07-20,000066.SZ,7.21,7.15,7.41,7.24067409,3.63636,1.0083916083916082
2019-07-17,000066.SZ,9.7,9.65,9.69,9.51763428,0.414507,1.0051813471502589
2020-07-17,000066.SZ,14.99,14.9,15.13,14.95063385,1.5436,1.0060402684563758
2021-07-16,000066.SZ,14.77,14.68,14.8,14.7142044,0.8174,1.0061307901907357
2022-07-20,000066.SZ,9.94,9.89,9.88,9.8723924,-0.1011,1.005055611729019
2018-07-05,000069.SZ,6.73,6.43,6.26,5.36217828,-2.643851,1.0466562986003112
2019-05-21,000069.SZ,7.15,6.85,6.99,6.24970308,2.043794,1.0437956204379564
2020-06-19,000069.SZ,6.3,6.0,6.11,5.73604967,1.8333,1.05
2021-06-09,000069.SZ,8.8,8.41,8.24,8.09441568,-2.0214,1.0463733650416172
2022-06-16,000069.SZ,5.66,5.56,5.56,5.56,0.0,1.0179856115107915
2019-05-16,000070.SZ,16.24,13.5,13.12,13.02452576,-2.814816,1.2029629629629628
2020-06-30,000070.SZ,9.62,9.55,9.72,9.72,1.7801,1.007329842931937
2018-02-28,000078.SZ,5.73,5.66,5.63,5.59783018,-0.530031,1.0123674911660778
2019-07-16,000078.SZ,3.5,3.48,3.55,3.55,2.011492,1.0057471264367817
2019-06-21,000088.SZ,5.51,5.48,5.5,4.4393855,0.364963,1.0054744525547443
2020-08-19,000088.SZ,9.36,8.61,9.07,7.97654801,5.3426,1.0871080139372822
2022-07-15,000088.SZ,5.02,4.99,4.89,4.3419777,-2.004,1.006012024048096
2023-06-16,000088.SZ,4.96,4.92,4.93,4.41308457,0.2033,1.008130081300813
2024-05-22,000088.SZ,5.05,4.87,4.85,4.5019349,-0.4107,1.0369609856262834
2025-06-05,000088.SZ,4.69,4.56,4.58,4.37251226,0.4386,1.0285087719298247
2025-11-26,000088.SZ,4.46,4.37,4.38,4.26769242,0.2288,1.0205949656750573
2026-06-23,000088.SZ,4.29,4.18,4.22,4.22,0.9569,1.0263157894736843
2018-06-14,000089.SZ,8.45,8.34,8.27,7.61908484,-0.839325,1.013189448441247
2019-07-26,000089.SZ,8.94,8.86,9.01,8.3757861,1.693,1.0090293453724606
2020-06-10,000089.SZ,8.14,8.06,8.01,7.52008437,-0.6203,1.0099255583126552
2024-06-28,000089.SZ,6.42,6.32,6.39,6.12089793,1.1076,1.0158227848101264
2025-06-27,000089.SZ,6.98,6.86,6.92,6.74452956,0.8746,1.0174927113702623
2026-06-26,000089.SZ,6.31,6.15,6.13,6.13,-0.3252,1.0260162601626015
2018-06-29,000090.SZ,7.56,6.13,6.2,3.2456194,1.14192,1.233278955954323
2019-06-20,000090.SZ,6.78,5.02,5.02,3.5492404,0.0,1.3505976095617531
2020-05-29,000090.SZ,6.35,5.97,5.89,4.42941547,-1.34,1.0636515912897822
