symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000418.SZ,2018-01-02,2019-06-21,356,SZ,True,小天鹅A,False
000419.SZ,2018-01-02,2026-09-11,2111,SZ,False,通程控股,False
000420.SZ,2018-01-02,2026-09-11,2111,SZ,False,吉林化纤,False
000421.SZ,2018-01-02,2026-09-11,2111,SZ,False,南京公用,False
000422.SZ,2018-01-02,2026-09-11,2111,SZ,False,湖北宜化,False
000423.SZ,2018-01-02,2026-09-11,2111,SZ,False,东阿阿胶,False
000425.SZ,2018-01-02,2026-09-11,2111,SZ,False,徐工机械,False
000426.SZ,2018-01-02,2026-09-11,2111,SZ,False,兴业银锡,False
000428.SZ,2018-01-02,2026-09-11,2111,SZ,False,华天酒店,False
000429.SZ,2018-01-02,2026-09-11,2111,SZ,False,粤高速A,False
000430.SZ,2018-01-02,2026-09-11,2111,SZ,False,张家界,False
000488.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST晨鸣,False
000498.SZ,2018-01-02,2026-09-11,2111,SZ,False,山东路桥,False
000501.SZ,2018-01-02,2026-09-11,2111,SZ,False,武商集团,False
000502.SZ,2018-01-02,2022-06-27,1087,SZ,True,绿景退,True
000503.SZ,2018-01-02,2026-09-11,2111,SZ,False,国新健康,False
000504.SZ,2018-01-02,2026-09-11,2111,SZ,False,南华生物,False
000505.SZ,2018-01-02,2026-09-11,2111,SZ,False,京粮控股,False
000506.SZ,2018-01-02,2026-09-11,2111,SZ,False,招金黄金,False
000507.SZ,2018-01-02,2026-09-11,2111,SZ,False,珠海港,False
000509.SZ,2018-01-02,2026-09-11,2111,SZ,False,华塑控股,False
000510.SZ,2018-01-02,2026-09-11,2111,SZ,False,新金路,False
000511.SZ,2018-01-02,2018-07-18,132,SZ,True,烯碳退,True
000513.SZ,2018-01-02,2026-09-11,2111,SZ,False,丽珠集团,False
000514.SZ,2018-01-02,2026-09-11,2111,SZ,False,渝开发,False
000516.SZ,2018-01-02,2026-09-11,2111,SZ,False,国际医学,False
000517.SZ,2018-01-02,2026-09-11,2111,SZ,False,荣安地产,False
000518.SZ,2018-01-02,2026-09-11,2111,SZ,False,四环生物,False
000519.SZ,2018-01-02,2026-09-11,2111,SZ,False,中兵红箭,False
000520.SZ,2018-01-02,2026-09-11,2111,SZ,False,凤凰航运,False
000521.SZ,2018-01-02,2026-09-11,2111,SZ,False,长虹美菱,False
000523.SZ,2018-01-02,2026-09-11,2111,SZ,False,红棉股份,False
000524.SZ,2018-01-02,2026-09-11,2111,SZ,False,岭南控股,False
000525.SZ,2018-01-02,2026-09-11,2111,SZ,False,红太阳,False
000526.SZ,2018-01-02,2026-09-11,2111,SZ,False,学大教育,False
000528.SZ,2018-01-02,2026-09-11,2111,SZ,False,柳工,False
000529.SZ,2018-01-02,2026-09-11,2111,SZ,False,广弘控股,False
000530.SZ,2018-01-02,2026-09-11,2111,SZ,False,冰山冷热,False
000531.SZ,2018-01-02,2026-09-11,2111,SZ,False,穗恒运A,False
000532.SZ,2018-01-02,2026-09-11,2111,SZ,False,华金资本,False
000533.SZ,2018-01-02,2026-09-11,2111,SZ,False,顺钠股份,False
000534.SZ,2018-01-02,2026-09-11,2111,SZ,False,万泽股份,False
