date,equity,cash,positions
2024-05-10,16297594.664998844,4653622.4849988455,10
2024-05-13,15829954.184998848,4653622.4849988455,10
2024-05-14,15899555.742938228,3063325.0629382273,11
2024-05-15,15962638.021725738,1473001.981725737,12
2024-05-16,16138051.01669807,1480858.906698071,11
2024-05-17,16503388.799752466,2641154.139752466,10
2024-05-20,16571143.917485379,10508269.55748538,4
2024-05-21,16493874.71748538,10508269.55748538,4
2024-05-22,16575893.437485378,10508269.55748538,4
2024-05-23,16632391.36290905,11657169.52290905,3
2024-05-24,16524135.400303762,9348086.770303762,5
2024-05-27,16621850.610303761,9348086.770303762,5
2024-05-28,16548932.540303761,9348086.770303762,5
2024-05-29,16505480.930303762,9348086.770303762,5
2024-05-30,16508660.95491524,10781304.414915241,4
2024-05-31,16565060.314915242,10781304.414915241,4
2024-06-03,16454113.484915242,10781304.414915241,4
2024-06-04,16408898.2528876,13765554.7528876,2
2024-06-05,16420130.5728876,13765554.7528876,2
2024-06-06,16354472.33450174,11298082.05450174,4
2024-06-07,16335826.797231589,7609246.8372315895,7
2024-06-11,16865956.07171135,6386007.491711349,8
2024-06-12,17030134.489640333,4867084.929640329,9
2024-06-13,17536688.091504782,4238390.501504781,9
2024-06-14,17392068.10711611,2491534.9871161105,10
2024-06-17,17555862.63111874,1.3111187352333218,12
2024-06-18,17770737.30111874,1.3111187352333218,12
2024-06-19,17430876.091118734,4865.4711187353505,12
2024-06-20,17565699.026834648,1483880.576834648,11
2024-06-21,17341029.130277503,1.5002775019966066,12
2024-06-24,16578170.203869136,1747381.1338691334,11
2024-06-25,16314766.343485784,2738754.5834857826,11
2024-06-26,16681909.46733946,4119675.117339461,10
2024-06-27,16320723.477339461,4119675.117339461,10
2024-06-28,16336552.95788602,4347321.997886021,9
2024-07-01,15992442.561350001,3448045.321350001,10
2024-07-02,15737355.47321964,5032065.21321964,9
2024-07-03,15615319.783696968,6395657.243696966,8
2024-07-04,15344015.055553019,8349138.485553019,6
2024-07-05,15352796.218304519,10575240.558304518,4
2024-07-08,15154416.926085724,7715526.356085723,6
2024-07-09,15222682.351835571,5218536.431835572,9
2024-07-10,15274453.528446302,5250086.988446303,9
2024-07-11,15833470.563619588,4400015.203619588,10
2024-07-12,15756811.21244371,3530999.4624437066,12
2024-07-15,15541325.792443708,3530999.4624437066,12
2024-07-16,15761497.208521418,1819558.2985214167,14
2024-07-17,15774833.89358626,2350929.4835862583,14
2024-07-18,15706722.893586263,2350929.4835862583,14
2024-07-19,16134331.203586258,2350929.4835862583,14
2024-07-22,16338281.117990905,2957140.5179909044,13
2024-07-23,15634459.561268786,1326087.041268784,14
2024-07-24,15261196.211364452,2120380.431364451,13
2024-07-25,15233666.181501228,3831636.671501229,12
2024-07-26,15335375.68400257,3797025.114002571,12
2024-07-29,15240661.657960482,4562261.167960483,11
2024-07-30,15321025.24890531,5617596.338905308,10
2024-07-31,15756420.79193024,7129197.831930241,9
2024-08-01,15782525.997147974,2877107.827147973,12
2024-08-02,15493988.715572417,3423092.795572417,12
2024-08-05,15080513.296669964,3328401.4766699625,12
2024-08-06,15332181.70412128,4110403.0341212805,11
2024-08-07,15261637.415309394,5297457.545309393,10
2024-08-08,15107103.096216073,5824594.136216072,9
2024-08-09,14954539.479078567,6317001.649078567,8
2024-08-12,14890029.2616225,7268206.321622501,7
2024-08-13,14856835.023212021,8578312.683212021,6
2024-08-14,14768483.403212022,8578312.683212021,6
2024-08-15,14772629.324365202,10196036.754365202,4
2024-08-16,14795897.344365202,10196036.754365202,4
2024-08-19,14741269.535947377,11475716.555947376,3
2024-08-20,14655293.456612958,12517434.616612958,2
2024-08-21,14686901.153162166,10904692.593162166,4
2024-08-22,14648634.933162166,10904692.593162166,4
2024-08-23,14598956.862731174,12207808.202731173,3
2024-08-26,14629547.026544446,11396842.186544446,4
2024-08-27,14625782.346544446,11396842.186544446,4
2024-08-28,14606510.54476296,10593056.50476296,5
2024-08-29,14707157.98813397,9790539.70813397,6
2024-08-30,14837983.111769471,6557399.6017694725,10
2024-09-02,14445435.296746604,624581.9567466017,14
2024-09-03,14496694.768302612,2724766.988302613,12
2024-09-04,14535587.321366118,1138709.8613661171,14
2024-09-05,14626730.281366117,1138709.8613661171,14
2024-09-06,14264291.861366117,1138709.8613661171,14
2024-09-09,14143713.221366119,1138709.8613661171,14
2024-09-10,14159079.411366118,1138709.8613661171,14
2024-09-11,14114390.43877288,3976586.9387728805,11
2024-09-12,13962871.703228086,1644764.1532280857,14
2024-09-13,13815582.388417667,3095309.358417669,12
2024-09-18,13770711.273070186,1568165.1630701874,14
2024-09-19,13949834.819696266,2920939.359696267,13
2024-09-20,13846633.338135611,1873956.9581356114,14
2024-09-23,13731226.288135614,1873956.9581356114,14
2024-09-24,14266609.105558638,2616985.255558637,13
2024-09-25,14381189.633530132,2821974.273530132,12
2024-09-26,15066667.777474334,53.11747433617711,14
2024-09-27,16040818.547474336,53.11747433617711,14
2024-09-30,18373379.25923295,5078248.989232951,10
2024-10-08,20943417.845363963,20943417.845363963,0
2024-10-09,20943417.845363963,20943417.845363963,0
2024-10-10,20943417.845363963,20943417.845363963,0
2024-10-11,20943417.845363963,20943417.845363963,0
2024-10-14,21167777.74309357,11725596.46309357,8
2024-10-15,20799990.19676067,4744044.036760671,14
2024-10-16,20652498.606760673,4744044.036760671,14
2024-10-17,20684489.466760673,4744044.036760671,14
2024-10-18,21733255.576760672,4744044.036760671,14
2024-10-21,22095356.246760674,4744044.036760671,14
2024-10-22,22406478.576760672,4744044.036760671,14
2024-10-23,22373632.036760673,4744044.036760671,14
2024-10-24,22525091.19676067,4744044.036760671,14
2024-10-25,22990660.444619887,6207658.684619879,14
2024-10-28,23199865.342803665,6978620.632803664,13
2024-10-29,22711732.222803663,6978620.632803664,13
2024-10-30,22510814.582803667,6978620.632803664,13
2024-10-31,22929042.713456213,6481683.463456211,14
2024-11-01,22419271.98345621,6481683.463456211,14
2024-11-04,22956218.97345621,6481683.463456211,14
2024-11-05,23625374.83345621,6481683.463456211,14
2024-11-06,23693395.66745279,7220157.337452792,14
2024-11-07,24027142.75745279,7220157.337452792,14
2024-11-08,24200068.75745279,7220157.337452792,14
2024-11-11,25262077.124039292,8741365.954039294,13
2024-11-12,25081209.961361393,14118648.451361394,10
2024-11-13,25126886.47724941,18191324.67724941,6
2024-11-14,25024750.120906815,23691440.320906814,1
2024-11-15,24953921.920906816,23691440.320906814,1
2024-11-18,24917886.520906813,23691440.320906814,1
2024-11-19,24962205.920906816,23691440.320906814,1
2024-11-20,24966762.120906815,23691440.320906814,1
2024-11-21,24979602.320906814,23691440.320906814,1
2024-11-22,24916229.720906813,23691440.320906814,1
2024-11-25,24927827.320906814,23691440.320906814,1
2024-11-26,24929484.120906815,23691440.320906814,1
2024-11-27,24952265.120906815,23691440.320906814,1
2024-11-28,24941081.720906813,23691440.320906814,1
2024-11-29,24960549.120906815,23691440.320906814,1
2024-12-02,24963180.53267013,24963180.53267013,0
2024-12-03,24963180.53267013,24963180.53267013,0
2024-12-04,24963180.53267013,24963180.53267013,0
2024-12-05,24963180.53267013,24963180.53267013,0
2024-12-06,24963180.53267013,24963180.53267013,0
2024-12-09,24963180.53267013,24963180.53267013,0
2024-12-10,24913794.56526537,23589781.605265368,1
2024-12-11,24839727.925265368,23589781.605265368,1
2024-12-12,24836503.874789476,24836503.874789476,0
2024-12-13,24838956.364308976,23470078.864308976,1
2024-12-16,24807208.864308976,23470078.864308976,1
2024-12-17,24727217.614308976,23470078.864308976,1
2024-12-18,24733308.743629724,24733308.743629724,0
2024-12-19,24716909.938574,22877750.938574,1
2024-12-20,24733693.138574,22877750.938574,1
2024-12-23,24606420.538574003,22877750.938574,1
2024-12-24,24616210.738574002,22877750.938574,1
2024-12-25,24536490.538574003,22877750.938574,1
2024-12-26,24530902.385989666,24530902.385989666,0
2024-12-27,24603154.253685225,22322449.253685225,1
2024-12-30,24578794.253685225,22322449.253685225,1
2024-12-31,24485617.253685225,22322449.253685225,1
2025-01-02,24357297.348724473,18647227.188724473,3
2025-01-03,24125347.670830064,16818575.790830065,4
2025-01-06,24104802.418080654,20507849.858080655,2
