date,equity,cash,holdings
2021-11-25,13933059.408685401,1553670.4086854013,29
2021-11-26,13976275.408685401,1553670.4086854013,29
2021-11-29,13906635.408685401,1553670.4086854013,29
2021-11-30,13949228.408685401,1553670.4086854013,29
2021-12-01,14073108.0969662,33778.09696620057,31
2021-12-02,14021268.0969662,33778.09696620057,31
2021-12-03,14090391.0969662,33778.09696620057,31
2021-12-06,14080681.0969662,33778.09696620057,31
2021-12-07,13963416.0969662,33778.09696620057,31
2021-12-08,14199056.0969662,33778.09696620057,31
2021-12-09,14356611.0969662,33778.09696620057,31
2021-12-10,14305870.0969662,33778.09696620057,31
2021-12-13,14322761.0969662,33778.09696620057,31
2021-12-14,14202893.0969662,33778.09696620057,31
2021-12-15,14257919.0969662,33778.09696620057,31
2021-12-16,14369265.0969662,33778.09696620057,31
2021-12-17,14365746.0969662,33778.09696620057,31
2021-12-20,14439302.0969662,33778.09696620057,31
2021-12-21,14647021.0969662,33778.09696620057,31
2021-12-22,14700423.0969662,33778.09696620057,31
2021-12-23,14690597.0969662,33778.09696620057,31
2021-12-24,14573341.0969662,33778.09696620057,31
2021-12-27,14622158.0969662,33778.09696620057,31
2021-12-28,14502869.0969662,33778.09696620057,31
2021-12-29,14437958.0969662,33778.09696620057,31
2021-12-30,14499981.0969662,33778.09696620057,31
2021-12-31,14711105.0969662,33778.09696620057,31
2022-01-04,15035136.3271682,1321154.3271682002,26
2022-01-05,14958468.3271682,1321154.3271682002,26
2022-01-06,14963083.3271682,1321154.3271682002,26
2022-01-07,15022283.3271682,1321154.3271682002,26
2022-01-10,15116867.3271682,1321154.3271682002,26
2022-01-11,15237131.3271682,1321154.3271682002,26
2022-01-12,15285338.3271682,1321154.3271682002,26
2022-01-13,15261619.3271682,1321154.3271682002,26
2022-01-14,15052331.3271682,1321154.3271682002,26
2022-01-17,15108551.3271682,1321154.3271682002,26
2022-01-18,15118548.3271682,1321154.3271682002,26
2022-01-19,15287934.3271682,1321154.3271682002,26
2022-01-20,15117770.3271682,1321154.3271682002,26
2022-01-21,14997766.3271682,1321154.3271682002,26
2022-01-24,14989772.3271682,1321154.3271682002,26
2022-01-25,14531602.3271682,1321154.3271682002,26
2022-01-26,14663734.3271682,1321154.3271682002,26
2022-01-27,14483969.3271682,1321154.3271682002,26
2022-01-28,14560882.3271682,1321154.3271682002,26
2022-02-07,14804149.284433002,620.2844330017626,38
2022-02-08,15026913.284433002,620.2844330017626,38
2022-02-09,15199556.284433002,620.2844330017626,38
2022-02-10,15348717.284433002,620.2844330017626,38
2022-02-11,15243975.284433002,620.2844330017626,38
2022-02-14,15056121.284433002,620.2844330017626,38
