date,equity_local,cash_local,holdings_local,equity_platform,cash_platform,holdings_platform,equity_gap,equity_gap_pct
2021-10-21,14160890.7032414,3503250.7032414004,28,14155597.62,2292498.62,35,5293.08324140124,0.00037392156682414246
2021-10-22,14006536.7032414,3503250.7032414004,28,13991335.62,2292498.62,35,15201.08324140124,0.0010864640556311755
2021-10-25,13941497.7032414,3503250.7032414004,28,13997434.62,2292498.62,35,-55936.91675859876,-0.003996226328406904
2021-10-26,13898170.7032414,3503250.7032414004,28,13926657.62,2292498.62,35,-28486.91675859876,-0.0020454955909656736
2021-10-27,13743054.7032414,3503250.7032414004,28,13744471.62,2292498.62,35,-1416.9167585987598,-0.0001030899402881813
2021-10-28,13711773.7032414,3503250.7032414004,28,13615400.62,2292498.62,35,96373.08324140124,0.00707824073129637
2021-10-29,13859063.7032414,3503250.7032414004,28,13797260.62,2292498.62,35,61803.08324140124,0.00447937347445726
2021-11-01,13947458.408685401,1553670.4086854013,29,13992666.7,981053.7,39,-45208.29131459817,-0.003230856010784433
2021-11-02,13763860.408685401,1553670.4086854013,29,13969035.7,981053.7,39,-205175.29131459817,-0.01468786362358554
2021-11-03,13834022.408685401,1553670.4086854013,29,14051966.7,981053.7,39,-217944.29131459817,-0.015509878152116463
2021-11-04,13847620.408685401,1553670.4086854013,29,14320007.7,981053.7,39,-472387.2913145982,-0.03298792159969288
2021-11-05,13735643.408685401,1553670.4086854013,29,14060417.7,981053.7,39,-324774.2913145982,-0.02309848101558165
2021-11-08,13788932.408685401,1553670.4086854013,29,14029235.7,981053.7,39,-240303.29131459817,-0.017128751448277302
2021-11-09,13774208.408685401,1553670.4086854013,29,14124673.7,981053.7,39,-350465.2913145982,-0.024812275225487013
2021-11-10,13828159.408685401,1553670.4086854013,29,14096261.7,981053.7,39,-268102.2913145982,-0.01901938946796078
2021-11-11,13918328.408685401,1553670.4086854013,29,14172241.7,981053.7,39,-253913.29131459817,-0.01791624054186136
2021-11-12,13897061.408685401,1553670.4086854013,29,14215249.7,981053.7,39,-318188.2913145982,-0.022383587909440505
2021-11-15,13974890.408685401,1553670.4086854013,29,14297033.7,981053.7,39,-322143.2913145982,-0.022532176818929828
2021-11-16,13865363.408685401,1553670.4086854013,29,14290322.7,981053.7,39,-424959.2913145982,-0.029737557383123225
2021-11-17,13931264.408685401,1553670.4086854013,29,14484500.7,981053.7,39,-553236.2913145982,-0.038195054339332346
2021-11-18,13846842.408685401,1553670.4086854013,29,14273758.7,981053.7,39,-426916.2913145982,-0.02990917110813973
2021-11-19,13955953.408685401,1553670.4086854013,29,14368252.7,981053.7,39,-412299.2913145982,-0.028695158689309386
2021-11-22,13903785.408685401,1553670.4086854013,29,14515012.7,981053.7,39,-611227.2913145982,-0.04211000733844339
2021-11-23,13924378.408685401,1553670.4086854013,29,14505319.7,981053.7,39,-580941.2913145982,-0.04005022318223006
2021-11-24,13956727.408685401,1553670.4086854013,29,14565330.7,981053.7,39,-608603.2913145982,-0.04178437852527428
2021-11-25,13933059.408685401,1553670.4086854013,29,14708236.7,981053.7,39,-775177.2913145982,-0.05270361819201608
2021-11-26,13976275.408685401,1553670.4086854013,29,14573394.7,981053.7,39,-597119.2913145982,-0.040973246357940085
2021-11-29,13906635.408685401,1553670.4086854013,29,14536503.7,981053.7,39,-629868.2913145982,-0.04333010910419943
2021-11-30,13949228.408685401,1553670.4086854013,29,14655439.7,981053.7,39,-706211.2913145982,-0.0481876563085718
2021-12-01,14073108.0969662,33778.09696620057,31,14745246.68,2590063.68,33,-672138.5830338001,-0.04558340715625109
2021-12-02,14021268.0969662,33778.09696620057,31,14631293.68,2590063.68,33,-610025.5830338001,-0.041693208842336626
2021-12-03,14090391.0969662,33778.09696620057,31,14734839.68,2590063.68,33,-644448.5830338001,-0.04373638241266564
2021-12-06,14080681.0969662,33778.09696620057,31,14623042.68,2590063.68,33,-542361.5830338001,-0.0370895165187195
2021-12-07,13963416.0969662,33778.09696620057,31,14478790.68,2590063.68,33,-515374.5830338001,-0.03559514012076315
2021-12-08,14199056.0969662,33778.09696620057,31,14643939.68,2590063.68,33,-444883.5830338001,-0.030380047497832963
2021-12-09,14356611.0969662,33778.09696620057,31,14733730.68,2590063.68,33,-377119.5830338001,-0.025595661494322908
2021-12-10,14305870.0969662,33778.09696620057,31,14692254.68,2590063.68,33,-386384.5830338001,-0.02629852200695726
2021-12-13,14322761.0969662,33778.09696620057,31,14718682.68,2590063.68,33,-395921.5830338001,-0.026899253937431866
2021-12-14,14202893.0969662,33778.09696620057,31,14679541.68,2590063.68,33,-476648.5830338001,-0.03247026327008595
2021-12-15,14257919.0969662,33778.09696620057,31,14719401.68,2590063.68,33,-461482.5830338001,-0.03135199331239391
2021-12-16,14369265.0969662,33778.09696620057,31,14812426.68,2590063.68,33,-443161.5830338001,-0.02991822964647406
2021-12-17,14365746.0969662,33778.09696620057,31,14738721.68,2590063.68,33,-372975.5830338001,-0.02530582984953955
2021-12-20,14439302.0969662,33778.09696620057,31,14677088.68,2590063.68,33,-237786.58303380013,-0.016201209123838267
2021-12-21,14647021.0969662,33778.09696620057,31,14841946.68,2590063.68,33,-194925.58303380013,-0.0131334242897172
2021-12-22,14700423.0969662,33778.09696620057,31,14833493.68,2590063.68,33,-133070.58303380013,-0.008970953566604378
