core,stable,trend,annualized_return,max_drawdown,sharpe
0.65,0.25,0.1,0.10828002795249869,-0.21965181168356862,0.7036633686564348
0.65,0.30000000000000004,0.05,0.1078095514061852,-0.21797515049971716,0.7035087079100167
0.65,0.35000000000000003,-0.0,0.10732078610944829,-0.216298609678223,0.7029525481749884
0.7000000000000001,0.0,0.3,0.11207753064521442,-0.2290879806731272,0.7049490007156468
0.7000000000000001,0.05,0.25,0.11169328664873812,-0.22741258371904016,0.7065153013201514
0.7000000000000001,0.1,0.2,0.11129058744177045,-0.22573723008669888,0.7077443316436036
0.7000000000000001,0.15000000000000002,0.15,0.11086946018609378,-0.22406193462933144,0.708620790940108
0.7000000000000001,0.2,0.1,0.11042993289622305,-0.22238671222912998,0.7091304718989311
0.7000000000000001,0.25,0.05,0.10997203443674719,-0.2207115777970593,0.7092604514920786
0.7000000000000001,0.30000000000000004,-0.0,0.10949579451961466,-0.2190365462726812,0.7089992756824488
0.75,0.0,0.25,0.11377421275141475,-0.23014432374096172,0.7104805598934332
0.75,0.05,0.2,0.1133843143115103,-0.22847058041547808,0.7119397928324879
0.75,0.1,0.15,0.11297593754780766,-0.2267968780255719,0.7130598435986015
0.75,0.15000000000000002,0.1,0.11254910990037637,-0.2251232314054078,0.7138260563104939
0.75,0.2,0.05,0.11210385966273084,-0.22344965541810602,0.7142249041319922
0.75,0.25,0.0,0.11164021597914942,-0.2217761649555614,0.7142441716065875
0.8,0.0,0.2,0.11544697748086108,-0.23120540750397334,0.715438199263646
0.8,0.05,0.15,0.11505141892503712,-0.22953332959400075,0.7167834725705435
0.8,0.1,0.1,0.11463735936959507,-0.22786129023910118,0.7177884919285277
0.8,0.15000000000000002,0.05,0.11420482653292008,-0.2261893042542823,0.7184392929775749
0.8,0.2,-0.0,0.11375384898753116,-0.22451738648350472,0.7187230694037045
0.8500000000000001,0.0,0.15,0.11709570801644564,-0.2322712106893714,0.7198334315711817
0.8500000000000001,0.05,0.1,0.11669448402930582,-0.23060080994807708,0.7210590057723056
0.8500000000000001,0.1,0.05,0.11627473680593159,-0.2289304453870551,0.7219440878267452
0.8500000000000001,0.15000000000000002,-0.0,0.11583649434303611,-0.22726013180206728,0.7224754418578159
0.9,0.0,0.1,0.11872028895466258,-0.2333417119446839,0.7236807298242925
0.9,0.05,0.05,0.11831339457924894,-0.23167300009126213,0.7247820164252103
0.9,0.1,-0.0,0.11788795517187833,-0.23000432204906196,0.7255433891757023
0.9500000000000001,0.0,0.05,0.12032060631801,-0.23441688983841535,0.7269971611751396
0.9500000000000001,0.05,-0.0,0.1199080369571155,-0.23274987855786256,0.7279707002626641
1.0,0.0,0.0,0.12189654756725532,-0.235496722860707,0.7298020067286007
