日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2026-09-01,09:31:00,601107.SH,四川成渝,卖出,5.938,-64100,-380632.21,114.19,380.63
2026-09-01,09:31:00,603213.SH,镇洋发展,卖出,14.132,-13400,-189364.51,56.81,189.36
2026-09-01,09:31:00,601231.SH,环旭电子,卖出,26.856,-8500,-228277.53,68.48,228.28
2026-09-01,09:31:00,605168.SH,三人行,卖出,49.231,-30600,-1506479.00,451.94,1506.48
2026-09-01,09:31:00,600790.SH,轻纺城,卖出,3.393,-4300,-14590.76,5.00,14.59
2026-09-01,09:31:00,600522.SH,中天科技,卖出,35.229,-3400,-119779.96,35.93,119.78
2026-09-01,09:31:00,600007.SH,中国国贸,卖出,18.752,-6900,-129391.70,38.82,129.39
2026-09-01,09:31:00,601126.SH,四方股份,买入,42.355,5900,249891.79,74.97,0.00
2026-09-01,09:31:00,002327.SZ,富安娜,卖出,6.337,-34800,-220538.04,66.16,220.54
2026-09-01,09:31:00,600713.SH,南京医药,卖出,5.220,-28800,-150322.75,45.10,150.32
2026-09-01,09:31:00,603967.SH,中创物流,卖出,11.577,-18000,-208382.40,62.51,208.38
2026-09-01,09:31:00,601615.SH,明阳智能,卖出,10.579,-32300,-341695.24,102.51,341.70
2026-08-03,09:31:00,002560.SZ,通达股份,买入,6.162,151300,932355.99,279.71,0.00
2026-08-03,09:31:00,605580.SH,恒盛能源,买入,16.693,26300,439034.32,131.71,0.00
2026-08-03,09:31:00,603897.SH,长城科技,买入,24.669,39300,969501.13,290.85,0.00
2026-08-03,09:31:00,603586.SH,金麒麟,卖出,12.744,-2200,-28037.81,8.41,28.04
2026-08-03,09:31:00,603929.SH,亚翔集成,买入,148.296,7400,1097390.40,329.22,0.00
2026-08-03,09:31:00,605098.SH,行动教育,卖出,57.385,-6900,-395956.50,118.79,395.96
2026-08-03,09:31:00,603600.SH,永艺股份,卖出,9.581,-4400,-42155.52,12.65,42.16
2026-08-03,09:31:00,601126.SH,四方股份,买入,38.577,29500,1138021.50,341.41,0.00
2026-08-03,09:31:00,603856.SH,东宏股份,卖出,11.218,-15500,-173871.56,52.16,173.87
2026-08-03,09:31:00,603788.SH,宁波高发,卖出,13.902,-5600,-77851.98,23.36,77.85
2026-08-03,09:31:00,603116.SH,红蜻蜓,卖出,5.289,-14700,-77754.18,23.33,77.75
2026-08-03,09:31:00,603075.SH,热威股份,卖出,18.223,-8900,-162188.97,48.66,162.19
2026-08-03,09:31:00,603995.SH,甬金股份,卖出,20.239,-10100,-204418.34,61.33,204.42
2026-08-03,09:31:00,605056.SH,咸亨国际,买入,13.507,38700,522719.35,156.82,0.00
2026-08-03,09:31:00,603519.SH,立霸股份,卖出,15.299,-14800,-226430.23,67.93,226.43
2026-08-03,09:31:00,601615.SH,明阳智能,买入,11.212,179900,2017107.16,605.13,0.00
2026-08-03,09:31:00,002080.SZ,中材科技,买入,42.886,21800,934906.08,280.47,0.00
2026-08-03,09:31:00,002993.SZ,奥海科技,买入,34.449,27400,943896.02,283.17,0.00
2026-08-03,09:31:00,600522.SH,中天科技,买入,28.206,38700,1091583.81,327.48,0.00
