rank,variant,name_cn,design_2020_2024_cagr,design_2020_2024_total_return,design_2020_2024_max_drawdown,design_2020_2024_sharpe,design_2020_2024_volatility,design_2020_2024_final_equity,recent_2025_202607_cagr,recent_2025_202607_total_return,recent_2025_202607_max_drawdown,recent_2025_202607_sharpe,recent_2025_202607_volatility,recent_2025_202607_final_equity,full_2020_202607_cagr,full_2020_202607_total_return,full_2020_202607_max_drawdown,full_2020_202607_sharpe,full_2020_202607_volatility,full_2020_202607_final_equity,eligible_mdd_10_50,robust_sharpe,ranking_score
15,voltarget_50_26,进攻50%核心+目标波动26%,0.4593537111817041,5.610602224850246,-0.20556990955967314,2.0895461815511167,0.19724871430296728,6610602.224850246,0.3542039282441303,0.61177908634593,-0.14570636266574077,1.8638753543234974,0.17745759351392848,1611779.0863459301,0.43301102395248403,9.654830414165527,-0.20556990955967314,2.038172369387224,0.19264933151231353,10654830.414165527,True,1.8638753543234974,1.8638753543234974
16,voltarget_80_26,进攻80%核心+目标波动26%,0.5096081695791661,6.829049838587892,-0.28171913345661015,1.9374506286875999,0.23511233560223904,7829049.838587892,0.4529678109637765,0.8006686418365263,-0.18215216312153482,1.8597190922949456,0.2219567229483727,1800668.6418365263,0.4953386635233117,13.097524539720542,-0.28171913345661015,1.919607348927783,0.23196182571687082,14097524.539720543,True,1.8597190922949456,1.8597190922949456
17,voltarget_35_26,进攻35%核心+目标波动26%,0.4276185878716603,4.922865059048391,-0.18037197142251815,2.156418751677959,0.178936443380447,5922865.059048391,0.2944258348045865,0.5012018127287055,-0.12357160462647909,1.800766435045445,0.15560101398874346,1501201.8127287054,0.3941235406251167,7.891415763190967,-0.18037197142251815,2.0767713543828723,0.1736062206001656,8891415.763190966,True,1.800766435045445,1.800766435045445
18,dd_80_10_18,进攻80%核心+回撤10%/18%降仓,0.6129389252881667,9.898809986980847,-0.21728156685073963,2.0919774760948893,0.2526337165925664,10898809.986980848,0.41377683398657217,0.7248018381714636,-0.21474851931420502,1.7889022901287854,0.2138593123133192,1724801.8381714637,0.5622244264229839,17.79828749942605,-0.21728156685073963,2.0237428547600325,0.2438708851416239,18798287.49942605,True,1.7889022901287854,1.7889022901287854
19,dd_50_12_22,进攻50%核心+回撤12%/22%降仓,0.5565041314411867,8.122078187668317,-0.20576121018883364,2.1916384716119928,0.22077171014909724,9122078.187668316,0.33996440719319976,0.5851792312838406,-0.15332284148106945,1.781020578764232,0.17978165867658058,1585179.2312838407,0.501124410581733,13.460128889239115,-0.20576121018883364,2.100638887817949,0.21166493965879762,14460128.889239116,True,1.781020578764232,1.781020578764232
20,fixed_60_40,固定日配比 进攻60%/防守40%,0.6289217442331045,10.449220364729051,-0.23727761933373437,2.190328671067304,0.24504978873087824,11449220.36472905,0.3812100011390329,0.6626691830340845,-0.17879510763001782,1.7752584246715226,0.20031003863290017,1662669.1830340845,0.565215731447581,18.036265870201255,-0.23727761933373437,2.0984249314844488,0.23509547984454385,19036265.870201256,True,1.7752584246715226,1.7752584246715226
21,fixed_70_29,固定日配比 进攻70%/防守30%,0.6701282974718779,11.971400019842834,-0.2677471628712791,2.160613998734166,0.2624746151232575,12971400.019842833,0.418544028043353,0.7339665512874796,-0.19737327182126208,1.7732774509989662,0.2182847736571064,1733966.5512874795,0.6054262886527879,21.491973757777206,-0.2677471628712791,2.0745198525886335,0.2525707946808732,22491973.757777207,True,1.7732774509989662,1.7732774509989662
22,fixed_50_50,固定日配比 进攻50%/防守50%,0.5879618077650857,9.081216165342095,-0.20569236434407734,2.2137003456142885,0.22876850966171874,10081216.165342094,0.34430185164081184,0.5932646019748793,-0.15988826354888874,1.769396261644765,0.18321202276834422,1593264.6019748794,0.5252991163437533,15.062044861096485,-0.20569236434407734,2.1157377455420923,0.2187175111844348,16062044.861096485,True,1.769396261644765,1.769396261644765
23,fixed_80_19,固定日配比 进攻80%/防守20%,0.7115492317386074,13.660481956160808,-0.2971350054278048,2.1277081694190296,0.2808303870021249,14660481.956160808,0.4562851954421143,0.8071450731440968,-0.21562613418432575,1.7667430873985714,0.23693697052956222,1807145.0731440969,0.6459020067536463,25.49361773699391,-0.2971350054278048,2.047188325725009,0.27093138129928523,26493617.736993913,True,1.7667430873985714,1.7667430873985714
24,fixed_90_09,固定日配比 进攻90%/防守10%,0.7531512649700376,15.529606714703927,-0.32547431019365003,2.093693631328429,0.2999463945503083,16529606.714703927,0.49441380919249545,0.8821890748001231,-0.23355709210338316,1.7577149496279498,0.2561188245155553,1882189.074800123,0.6866130677880455,30.11184516915848,-0.32547431019365003,2.01849886994312,0.2900093037186856,31111845.16915848,True,1.7577149496279498,1.7577149496279498
